Artiste; Titre; BPM
Tatu; They're not gonna get us; 130.000000
Tavares; Heaven Must Be Missing An Angel; 117.339996
Taxi Girl; Chercher Le Garçon; 143.500000
Tears For Fears; Change; 125.169998
Tears For Fears; Shout (Us Remix); 98.419998
Texas; Black Eyed Boy; 119.129997
Texas; I Don't Want A Lover; 120.519997
Texas; Inner Smile; 106.019997
Texas; Summer Son; 127.169998
The B-52's; Love Shack; 133.580002
The Beach Boys & Status Quo; Fun Fun Fun; 83.660004
The Beach Boys; I Get Around; 152.000000
The Beatles; A Hard Day's Night; 132.449997
The Beatles; Get Back; 122.120003
The Beatles; Love Me Do; 145.479996
The Black Eyed Peas; Don't Phunk With my Heart; 130.860001
The Black Eyed Peas; Pump it; 153.539993
The Blues Brothers; Everybody Needs Somebody to Love; 97.059998
The Blues Brothers; Flip Flop and Fly; 91.129997
The Blues Brothers; Jailhouse Rock; 93.269997
The Cardigans; For What It's Worth; 126.269997
The Cardigans; Lovefool; 111.589996
The Cardigans; My Favourite Game; 143.419998
The Champs; Tequila; 90.239998
The Clash; London Calling; 133.979996
The Communards; Disenchanted; 136.869995
The Communards; Don't Leave Me this Way; 130.639999
The Communards; Never Can Say Goodbye; 132.779999
The Cranberries; Animal Instinct; 132.139999
The Cranberries; I Can't Be With you; 128.979996
The Crystals; Da Doo Ron Ron; 146.779999
The Darkness; I Believe in a Thing Called Love; 128.169998
The Knack; My Sharona; 147.919998
The Motors; Airport; 137.639999
The Offspring; Why Don't you Get a Job?; 107.949997
The Pointer Sisters; I'm so Excited; 91.160004
The Police; Every Breath you Take; 117.379997
The Rembrandts; I'll Be There For you; 95.300003
The Rolling Stones; Miss you; 109.779999
The Rolling Stones; Satisfaction; 136.839996
The Rolling Stones; Start Me Up; 122.059998
The Rolling Stones; Undercover of the Night; 122.730003
The Rubettes; Sugar Baby Love; 130.789993
The Trashmen; Surfin' Bird; 102.199997
The White Stripes; Seven Nation Army; 123.589996
Thierry Hazard; Le Jerk; 133.389999
Thierry Hazard; Poupée Psychédélique; 136.500000
Thierry Pastor; Le Coup De Folie; 118.980003
Thomas Falke; High Again; 128.000000
Tom Jones; Sex Bomb; 123.199997
Toto; Hold the Line; 96.190002
Trans-X; Living on Video; 131.089996
Trini Lopez; If I Had a Hammer; 85.029999
Téléphone; Ca (C'est Vraiment Toi); 139.970001
Téléphone; Cendrillon; 147.839996
Téléphone; Hygiaphone; 84.989998
Téléphone; New York Avec Toi; 161.949997
Téléphone; Quelque Chose En Toi; 139.759995
Téléphone; Un Autre Monde; 141.809998
U2; Elevation; 110.019997
U2; New Year's Day; 133.449997
U2; Pride (in the Name of Love); 105.959999
U2; Sunday Bloody Sunday; 100.750000
Ultravox; Dancing With Tears in my Eyes; 143.669998
Umberto Tozzi; Gloria; 131.839996
Un Gars, Une Fille; C'est Aussi Pour Ça Qu'on S'aime; 110.559998
Unknown; Mix Rock; 93.059998
Van Halen; Jump; 129.279999
Vanguarde; Gimme! Gimme! Gimme! (Midnight Mix); 130.119995
Vanguarde; Mamma Mia; 135.009995
Vengaboys; Boum Boum Boum; 139.059998
Village People; In the Navy; 126.559998
Village People; Macho Man; 133.139999
Village People; Ymca; 126.699997
Visage; Fade to Grey; 112.879997
Véronique Et Davina; Toutouyoutou; 140.979996
Wanda Jackson; Let's Have a Party; 152.529999
Water Boys; Highway to Hell; 114.690002
Water Boys; Just Can't Get Enough; 125.949997
Water Boys; Should I Slay Or Should I Go; 113.449997
Water Boys; Tainted Love; 149.919998
Water Boys; Walk Like An Egyptian; 103.099998
Water Boys; Wot; 99.949997
Weezer; Island in the Sun; 114.449997
Westlife; Uptown Girl; 129.009995
Wham!; Wake Me Up Before you Go-Go; 163.009995
Wilson Pickett; Land of 1000 Dances; 87.339996
Yannick; Ces Soirées Là; 105.160004
Yazoo; Don't Go; 126.230003
Yianna Katsoulos; Les Autres Sont Jaloux; 124.239998
ZZ Top; La Grange; 161.419998
Zucchero; Baila Morena; 120.019997
